User Name,Tweet,Tweet Time,RTs count,Likes count,id,Sentiment Score
Life in Quarantini🍸,@PoniSoulja @trudy2e @rogifan @ddale8 Pretty much consensus amongst experts; even economists understand without int… https://t.co/60gZ09CnDw,2020-05-08 16:27:53,0,0,1258795771194941441,0.4939
Dwayne Fields,⁦⁦⁦@seniorcap⁩ - does this have a familiar call &gt;  we must re-open  * OUR * economy but he doesn’t explain that you… https://t.co/Sizqi4lmoE,2020-05-08 16:27:49,0,0,1258795753411092485,0.0
SJ Morgan,@DNCWarRoom WTF 😡 do you think happens when you shut diwn the country fools. This was a man made recession....not i… https://t.co/JY0tJjuvVQ,2020-05-08 16:27:49,0,0,1258795752630804480,-0.8286
dan horwi5z,"Even the Dems don't blame him for the economy?
Someone bang this against Trump's forehead and then shove it up his… https://t.co/dOEbfw3fnx",2020-05-08 16:27:49,0,0,1258795751305383937,0.2584
Capt Robert April,"@Telegraph @FraserNelson Time to take a page from Sweden.  Open back up, use caution where appropriate, let the Bri… https://t.co/yRtNlrtPU0",2020-05-08 16:27:48,0,0,1258795747949998082,0.0
Simcoe.com,"Barrie’s unemployment rate took a huge jump last month, with the city’s economy reeling from the effects of the COV… https://t.co/mpMIlxE9Yg",2020-05-08 16:27:47,0,0,1258795745580384261,-0.1531
Eric Gurr,"And politicians like Paul Ryan, and George Bush, who've never read a serious work of economics, will tell us,
""We n… https://t.co/TBnJig0ftD",2020-05-08 16:27:46,0,0,1258795739477655552,0.4063
Bethann,"@RawStory OMG!! This shit is going to get real over the next 2-4 weeks. Gross negligence, mismanagement, ignorance,… https://t.co/yaoZib9VTM",2020-05-08 16:27:44,0,0,1258795733395935234,-0.8374
💎Shalom Maria,HUGE UPDATE: Dr. Fauci and Dr. Birx Used Imperial College Model -- NOW CONFIRMED AS A COMPLETE FRAUD -- To Persuade… https://t.co/uWSXfs5ZP9,2020-05-08 16:27:44,0,0,1258795730870960129,-0.3612
Jose Miguel Aguila,"@cribbingarmydav @nationalpost The virus, possibly. The recession, definitely.",2020-05-08 16:27:43,0,0,1258795727540584453,-0.0258
